Bandit,Reward,Algorithm
3,3.601870201740289,ThompsonSampling
3,4.52602871759285,ThompsonSampling
3,3.5991467829059434,ThompsonSampling
2,2.6227666265402596,ThompsonSampling
3,2.8586228940303853,ThompsonSampling
3,5.207511253128526,ThompsonSampling
3,4.824207560586503,ThompsonSampling
3,3.89068504215585,ThompsonSampling
3,4.1293549350153445,ThompsonSampling
2,1.846602356235206,ThompsonSampling
3,4.614404436602667,ThompsonSampling
3,5.082565433088722,ThompsonSampling
3,3.782016816323947,ThompsonSampling
3,5.015681204158594,ThompsonSampling
3,5.2117072833388285,ThompsonSampling
3,4.038876552024838,ThompsonSampling
3,4.572679921541338,ThompsonSampling
3,3.8691062184529406,ThompsonSampling
2,3.1284834825720758,ThompsonSampling
3,4.952959379310153,ThompsonSampling
2,4.292875580742503,ThompsonSampling
2,2.8154925885261264,ThompsonSampling
3,7.026239563404424,ThompsonSampling
2,3.9476880155916656,ThompsonSampling
3,3.985867893460486,ThompsonSampling
3,4.210936184295284,ThompsonSampling
3,4.176112611260453,ThompsonSampling
1,1.148705400878562,ThompsonSampling
3,1.4472035749989454,ThompsonSampling
1,0.945074766022648,ThompsonSampling
3,4.059107744226794,ThompsonSampling
2,4.168540685461283,ThompsonSampling
3,5.4105407856657575,ThompsonSampling
2,4.480649149410171,ThompsonSampling
3,4.570256184315913,ThompsonSampling
1,2.807275573056243,ThompsonSampling
3,5.103910871603654,ThompsonSampling
3,4.34658703319907,ThompsonSampling
3,3.394674638638887,ThompsonSampling
3,4.422335414595874,ThompsonSampling
3,6.10128350240088,ThompsonSampling
2,4.515834424781891,ThompsonSampling
3,3.9780099669237394,ThompsonSampling
3,4.504498619725885,ThompsonSampling
0,1.1304974157706402,ThompsonSampling
3,2.882703995212879,ThompsonSampling
3,4.152698678030101,ThompsonSampling
3,4.672636121168664,ThompsonSampling
2,3.394236282887113,ThompsonSampling
2,2.801249923466763,ThompsonSampling
3,3.756003975099979,ThompsonSampling
3,2.703889259861935,ThompsonSampling
3,3.2015232388305312,ThompsonSampling
2,2.434938570139269,ThompsonSampling
3,4.490470963165832,ThompsonSampling
3,3.4641147518810533,ThompsonSampling
2,2.3367044331641544,ThompsonSampling
3,2.779096623883554,ThompsonSampling
3,4.289040405366961,ThompsonSampling
3,4.517810071299111,ThompsonSampling
3,5.3294780893963765,ThompsonSampling
3,3.2311268214717996,ThompsonSampling
3,5.211111056340836,ThompsonSampling
2,3.94554595694458,ThompsonSampling
3,2.4666373748006643,ThompsonSampling
3,3.507758485990908,ThompsonSampling
3,2.5034439248340927,ThompsonSampling
2,2.3053715694043295,ThompsonSampling
3,3.15434369432223,ThompsonSampling
3,2.9891429242532066,ThompsonSampling
2,3.367084915219885,ThompsonSampling
3,2.8668686505485814,ThompsonSampling
3,3.521822125251041,ThompsonSampling
3,3.4104310337481674,ThompsonSampling
3,4.856074839893187,ThompsonSampling
3,4.395400476986853,ThompsonSampling
3,5.103062114043334,ThompsonSampling
2,3.1095078912259604,ThompsonSampling
3,3.7718403161960814,ThompsonSampling
3,5.47153839595944,ThompsonSampling
3,2.116156470747023,ThompsonSampling
3,3.298240497488261,ThompsonSampling
3,4.918865070295402,ThompsonSampling
3,4.839617157037229,ThompsonSampling
2,4.681518142562168,ThompsonSampling
3,3.766372175516299,ThompsonSampling
2,4.635975160816963,ThompsonSampling
3,4.422522125720993,ThompsonSampling
3,2.097768287289898,ThompsonSampling
3,3.1171457362310084,ThompsonSampling
3,3.5293557018948345,ThompsonSampling
3,2.0965344974421747,ThompsonSampling
3,4.773724597896472,ThompsonSampling
3,5.399022771864484,ThompsonSampling
3,4.231664374198927,ThompsonSampling
3,5.84348385970287,ThompsonSampling
3,2.5123099681177274,ThompsonSampling
3,5.666280644857331,ThompsonSampling
2,2.0848976972200335,ThompsonSampling
3,6.072492100911058,ThompsonSampling
2,2.623993275455364,ThompsonSampling
3,3.092406453275777,ThompsonSampling
2,1.411420644829962,ThompsonSampling
0,-1.2648634896447928,ThompsonSampling
2,3.970977140740422,ThompsonSampling
2,3.1649047029534914,ThompsonSampling
3,5.181997553030445,ThompsonSampling
3,3.9303124000591514,ThompsonSampling
3,5.37233920457422,ThompsonSampling
3,2.360822059548436,ThompsonSampling
3,3.782404011539706,ThompsonSampling
2,3.847767480509675,ThompsonSampling
3,4.748569514133277,ThompsonSampling
3,3.2449238159082974,ThompsonSampling
3,2.4927301520242304,ThompsonSampling
3,3.927599790175815,ThompsonSampling
3,3.829588602983958,ThompsonSampling
2,1.742392146914402,ThompsonSampling
2,3.316029990307101,ThompsonSampling
2,4.522669853329876,ThompsonSampling
3,5.106267051525871,ThompsonSampling
3,3.18315720407259,ThompsonSampling
3,5.206842402786897,ThompsonSampling
3,2.4803336588378206,ThompsonSampling
1,0.245050889230213,ThompsonSampling
3,3.64981955088843,ThompsonSampling
3,3.8510398709686737,ThompsonSampling
3,2.1649113498774026,ThompsonSampling
3,5.1963060653248805,ThompsonSampling
3,3.651793404436425,ThompsonSampling
2,3.192024929938177,ThompsonSampling
3,3.574529876378782,ThompsonSampling
3,2.7482408345465563,ThompsonSampling
3,4.366480239409107,ThompsonSampling
3,4.905645869246576,ThompsonSampling
3,4.2037884942131605,ThompsonSampling
2,2.1121663246829,ThompsonSampling
3,4.169233686415421,ThompsonSampling
3,4.882257441544613,ThompsonSampling
3,5.643182259541883,ThompsonSampling
3,5.188681500333094,ThompsonSampling
3,3.8393041762751645,ThompsonSampling
3,4.55378421091353,ThompsonSampling
3,4.27404238160463,ThompsonSampling
3,4.003853231600956,ThompsonSampling
3,3.7062835807757573,ThompsonSampling
3,4.247173094620034,ThompsonSampling
3,3.342463187978791,ThompsonSampling
2,3.3025557097726757,ThompsonSampling
3,4.370653249603104,ThompsonSampling
3,2.857431941671411,ThompsonSampling
3,3.8965002594019382,ThompsonSampling
2,3.054764185371636,ThompsonSampling
3,4.074842900870407,ThompsonSampling
3,4.127404740691656,ThompsonSampling
3,3.905470091843527,ThompsonSampling
1,3.0639021105930624,ThompsonSampling
3,2.236250076653623,ThompsonSampling
3,2.680550982779451,ThompsonSampling
3,4.353163132951184,ThompsonSampling
2,2.2483130571731946,ThompsonSampling
3,3.08089437158082,ThompsonSampling
3,2.223619634528447,ThompsonSampling
3,3.9984627558753334,ThompsonSampling
3,4.684950966738958,ThompsonSampling
3,3.83561723067033,ThompsonSampling
3,4.751347257639868,ThompsonSampling
3,4.745194427966851,ThompsonSampling
3,5.06112435500148,ThompsonSampling
3,5.744655664606369,ThompsonSampling
3,2.1731409878973986,ThompsonSampling
2,2.623463178732433,ThompsonSampling
3,4.766805629095049,ThompsonSampling
3,3.790634477849908,ThompsonSampling
3,3.472629665343087,ThompsonSampling
2,3.989077055959134,ThompsonSampling
3,4.232423208766207,ThompsonSampling
3,3.6140097304565186,ThompsonSampling
3,2.9115537663589346,ThompsonSampling
3,3.039471646571769,ThompsonSampling
3,6.28231258721259,ThompsonSampling
3,4.757507582560862,ThompsonSampling
2,4.632784449151229,ThompsonSampling
3,2.497254296646535,ThompsonSampling
3,4.051523742357279,ThompsonSampling
3,3.671244100058481,ThompsonSampling
1,1.4920623178135544,ThompsonSampling
3,3.604319300740901,ThompsonSampling
2,1.7692391968316876,ThompsonSampling
3,4.2496038417914255,ThompsonSampling
3,3.2119260550222686,ThompsonSampling
3,2.2081517541191498,ThompsonSampling
3,2.5911691430094823,ThompsonSampling
3,3.9703276951647934,ThompsonSampling
3,2.9457548335491825,ThompsonSampling
2,1.5548688291151576,ThompsonSampling
2,2.539636261525661,ThompsonSampling
2,2.9902715890321896,ThompsonSampling
2,3.6650773371300644,ThompsonSampling
3,3.683199016737656,ThompsonSampling
2,3.863775729030039,ThompsonSampling
2,2.5614786289173277,ThompsonSampling
3,4.738948582732563,ThompsonSampling
3,4.913048607059607,ThompsonSampling
2,2.8852043148927025,ThompsonSampling
3,3.254011132094298,ThompsonSampling
3,4.442417176374034,ThompsonSampling
3,1.8328444401489077,ThompsonSampling
3,4.132063721994463,ThompsonSampling
3,5.310133086056726,ThompsonSampling
2,2.5344360033376927,ThompsonSampling
3,3.395058728472799,ThompsonSampling
3,4.5245428715012554,ThompsonSampling
3,2.9694651009652127,ThompsonSampling
3,2.8393083330213065,ThompsonSampling
2,1.148038984502371,ThompsonSampling
3,4.946121826175498,ThompsonSampling
3,3.9583717566031726,ThompsonSampling
3,3.968449291609698,ThompsonSampling
2,3.5618535815131183,ThompsonSampling
3,3.374845555439229,ThompsonSampling
2,2.490958590773559,ThompsonSampling
3,3.5658038943294486,ThompsonSampling
3,3.140204308212547,ThompsonSampling
3,3.503436311306964,ThompsonSampling
2,3.0891633230446347,ThompsonSampling
2,2.7704528049450934,ThompsonSampling
3,1.9270615633093575,ThompsonSampling
3,3.9811460895392607,ThompsonSampling
3,2.9357193417246905,ThompsonSampling
3,5.214663042626631,ThompsonSampling
3,4.278488928213891,ThompsonSampling
3,5.387033273830299,ThompsonSampling
3,5.32396550515143,ThompsonSampling
2,2.898388517546625,ThompsonSampling
3,1.6588173707130789,ThompsonSampling
3,2.0018820482557143,ThompsonSampling
3,2.373695363103156,ThompsonSampling
1,1.7749037074982283,ThompsonSampling
2,4.080642173888312,ThompsonSampling
1,0.7222197567281423,ThompsonSampling
3,3.3885581323948983,ThompsonSampling
1,0.949377827735274,ThompsonSampling
3,4.3166457141072625,ThompsonSampling
2,3.949848381610522,ThompsonSampling
3,3.315940979215645,ThompsonSampling
3,5.178558797951265,ThompsonSampling
0,0.8192743605842778,ThompsonSampling
3,4.027514949087398,ThompsonSampling
3,3.01324205896399,ThompsonSampling
3,3.3622789301708957,ThompsonSampling
3,2.653136085454231,ThompsonSampling
3,6.491877137157166,ThompsonSampling
3,3.9811788241378943,ThompsonSampling
2,2.999273861728505,ThompsonSampling
2,1.0380204804993567,ThompsonSampling
3,3.4758189722405106,ThompsonSampling
3,4.352725893681322,ThompsonSampling
3,3.836734564516841,ThompsonSampling
3,4.082627590031068,ThompsonSampling
2,2.8616272118786186,ThompsonSampling
3,4.482066340411195,ThompsonSampling
2,2.352671138402165,ThompsonSampling
3,2.318992493589188,ThompsonSampling
3,3.831100882632382,ThompsonSampling
3,3.061154748326007,ThompsonSampling
2,3.1700508949843598,ThompsonSampling
3,2.840682277753586,ThompsonSampling
2,3.5979939376055814,ThompsonSampling
1,1.4278648156433413,ThompsonSampling
3,3.405610508990722,ThompsonSampling
3,3.27366697700284,ThompsonSampling
3,2.20359771074524,ThompsonSampling
1,0.8087770428096539,ThompsonSampling
3,5.138902612593999,ThompsonSampling
3,4.435214313960714,ThompsonSampling
3,4.677428225435434,ThompsonSampling
3,3.1022093145218,ThompsonSampling
3,4.69491952200819,ThompsonSampling
